,regions,tech,vintage,cost_invest,cost_invest_units,capacity,capacity units
93,CA,C_GHPST_ELC_N,2030,52.07198292133493,M$/PJ/yr,0.0004436316288,PJ/yr
95,CA,C_GHPST_ELC_N,2035,52.07198292133493,M$/PJ/yr,0.0004436316288,PJ/yr
97,CA,C_GHPST_ELC_N,2040,52.07198292133493,M$/PJ/yr,0.0004436316288,PJ/yr
99,CA,C_GHPST_ELC_N,2045,52.07198292133493,M$/PJ/yr,0.0004436316288,PJ/yr
101,CA,C_GHPST_ELC_N,2050,52.07198292133493,M$/PJ/yr,0.0004436316288,PJ/yr
107,CA,C_LT_8FTLEDHE_LFL_N,2020,17.507855271061327,M$/giga lumens,7.520000000000001e-06,giga lumens
108,CA,C_LT_8FTLEDHE_LFL_N,2025,17.507855271061327,M$/giga lumens,7.520000000000001e-06,giga lumens
109,CA,C_LT_8FTLEDHE_LFL_N,2030,9.710693146894036,M$/giga lumens,7.680000000000001e-06,giga lumens
110,CA,C_LT_8FTLEDHE_LFL_N,2035,9.710693146894036,M$/giga lumens,7.680000000000001e-06,giga lumens
111,CA,C_LT_8FTLEDHE_LFL_N,2040,6.498694644459855,M$/giga lumens,7.680000000000001e-06,giga lumens
112,CA,C_LT_8FTLEDHE_LFL_N,2045,6.498694644459855,M$/giga lumens,7.680000000000001e-06,giga lumens
113,CA,C_LT_8FTLEDHE_LFL_N,2050,6.498694644459855,M$/giga lumens,7.680000000000001e-06,giga lumens
114,CA,C_LT_8FTLEDST_LFL_N,2020,17.507855271061327,M$/giga lumens,7.520000000000001e-06,giga lumens
115,CA,C_LT_8FTLEDST_LFL_N,2025,17.507855271061327,M$/giga lumens,7.520000000000001e-06,giga lumens
116,CA,C_LT_8FTLEDST_LFL_N,2030,9.710693146894036,M$/giga lumens,7.680000000000001e-06,giga lumens
117,CA,C_LT_8FTLEDST_LFL_N,2035,9.710693146894036,M$/giga lumens,7.680000000000001e-06,giga lumens
