,Tech_Code_Pandas,regions,Subsector,input_comm,Tech Description,tech,vintage,output_comm,efficiency,eff_notes
20,C_CK_RANGE_NGA,CA,Commercial Cooking,C_NGA,"HIGH EFFICIENCY STANDARD RANGE, GAS, 4 POWERED BURNERS, CONVECT. OVEN, 11"" GRIDDLE FOR EXISTING CAPACITY",C_CK_RANGEHE_NGA_R,2018.0,CCKNGA,0.5,Btu out / Btu in
21,C_CK_RANGE_NGA,CA,Commercial Cooking,C_NGA,"REFERENCE RANGE, GAS, 4 BURNER, OVEN, 11"" GRIDDLE",C_CK_RANGE_NGA_R,2018.0,CCKNGA,0.35,Btu out / Btu in
22,C_CK_RANGE_NGA,CA,Commercial Cooking,C_NGA,"HIGH EFFICIENCY STANDARD RANGE, GAS, 4 POWERED BURNERS, CONVECT. OVEN, 11"" GRIDDLE",C_CK_RANGEHE_NGA_N,2020.0,CCKNGA,0.5,Btu out / Btu in
23,C_CK_RANGE_NGA,CA,Commercial Cooking,C_NGA,"STANDARD RANGE, GAS, 4 POWERED BURNERS, CONVECT. OVEN, 11"" GRIDDLE",C_CK_RANGEST_NGA_N,2020.0,CCKNGA,0.35,Btu out / Btu in
24,C_CK_RANGE_NGA,CA,Commercial Cooking,C_NGA,"HIGH EFFICIENCY STANDARD RANGE, GAS, 4 POWERED BURNERS, CONVECT. OVEN, 11"" GRIDDLE",C_CK_RANGEHE_NGA_N,2025.0,CCKNGA,0.5,Btu out / Btu in
25,C_CK_RANGE_NGA,CA,Commercial Cooking,C_NGA,"STANDARD RANGE, GAS, 4 POWERED BURNERS, CONVECT. OVEN, 11"" GRIDDLE",C_CK_RANGEST_NGA_N,2025.0,CCKNGA,0.35,Btu out / Btu in
26,C_CK_RANGE_NGA,CA,Commercial Cooking,C_NGA,"HIGH EFFICIENCY STANDARD RANGE, GAS, 4 POWERED BURNERS, CONVECT. OVEN, 11"" GRIDDLE",C_CK_RANGEHE_NGA_N,2030.0,CCKNGA,0.5,Btu out / Btu in
27,C_CK_RANGE_NGA,CA,Commercial Cooking,C_NGA,"STANDARD RANGE, GAS, 4 POWERED BURNERS, CONVECT. OVEN, 11"" GRIDDLE",C_CK_RANGEST_NGA_N,2030.0,CCKNGA,0.35,Btu out / Btu in
28,C_CK_RANGE_NGA,CA,Commercial Cooking,C_NGA,"HIGH EFFICIENCY STANDARD RANGE, GAS, 4 POWERED BURNERS, CONVECT. OVEN, 11"" GRIDDLE",C_CK_RANGEHE_NGA_N,2035.0,CCKNGA,0.5,Btu out / Btu in
29,C_CK_RANGE_NGA,CA,Commercial Cooking,C_NGA,"STANDARD RANGE, GAS, 4 POWERED BURNERS, CONVECT. OVEN, 11"" GRIDDLE",C_CK_RANGEST_NGA_N,2035.0,CCKNGA,0.35,Btu out / Btu in
30,C_CK_RANGE_NGA,CA,Commercial Cooking,C_NGA,"HIGH EFFICIENCY STANDARD RANGE, GAS, 4 POWERED BURNERS, CONVECT. OVEN, 11"" GRIDDLE",C_CK_RANGEHE_NGA_N,2040.0,CCKNGA,0.5,Btu out / Btu in
31,C_CK_RANGE_NGA,CA,Commercial Cooking,C_NGA,"STANDARD RANGE, GAS, 4 POWERED BURNERS, CONVECT. OVEN, 11"" GRIDDLE",C_CK_RANGEST_NGA_N,2040.0,CCKNGA,0.35,Btu out / Btu in
32,C_CK_RANGE_NGA,CA,Commercial Cooking,C_NGA,"HIGH EFFICIENCY STANDARD RANGE, GAS, 4 POWERED BURNERS, CONVECT. OVEN, 11"" GRIDDLE",C_CK_RANGEHE_NGA_N,2045.0,CCKNGA,0.5,Btu out / Btu in
33,C_CK_RANGE_NGA,CA,Commercial Cooking,C_NGA,"STANDARD RANGE, GAS, 4 POWERED BURNERS, CONVECT. OVEN, 11"" GRIDDLE",C_CK_RANGEST_NGA_N,2045.0,CCKNGA,0.35,Btu out / Btu in
34,C_CK_RANGE_NGA,CA,Commercial Cooking,C_NGA,"HIGH EFFICIENCY STANDARD RANGE, GAS, 4 POWERED BURNERS, CONVECT. OVEN, 11"" GRIDDLE",C_CK_RANGEHE_NGA_N,2050.0,CCKNGA,0.5,Btu out / Btu in
35,C_CK_RANGE_NGA,CA,Commercial Cooking,C_NGA,"STANDARD RANGE, GAS, 4 POWERED BURNERS, CONVECT. OVEN, 11"" GRIDDLE",C_CK_RANGEST_NGA_N,2050.0,CCKNGA,0.35,Btu out / Btu in
36,C_LT_8FTLED_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT LINEAR LED REPLACEMENT LAMP FOR A 2-LAMP SYSTEM,C_LT_8FTLEDHE_LFL_N,2020.0,CLTLED,4.280821917808218,Giga Lm-Y/PJ
37,C_LT_8FTLED_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT LINEAR LED REPLACEMENT LAMP FOR A 2-LAMP SYSTEM,C_LT_8FTLEDST_LFL_N,2020.0,CLTLED,3.868594622019279,Giga Lm-Y/PJ
38,C_LT_8FTLED_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT LINEAR LED REPLACEMENT LAMP FOR A 2-LAMP SYSTEM,C_LT_8FTLEDHE_LFL_N,2025.0,CLTLED,4.280821917808218,Giga Lm-Y/PJ
39,C_LT_8FTLED_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT LINEAR LED REPLACEMENT LAMP FOR A 2-LAMP SYSTEM,C_LT_8FTLEDST_LFL_N,2025.0,CLTLED,3.868594622019279,Giga Lm-Y/PJ
40,C_LT_8FTLED_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT LINEAR LED REPLACEMENT LAMP FOR A 2-LAMP SYSTEM,C_LT_8FTLEDHE_LFL_N,2030.0,CLTLED,5.771182141045154,Giga Lm-Y/PJ
41,C_LT_8FTLED_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT LINEAR LED REPLACEMENT LAMP FOR A 2-LAMP SYSTEM,C_LT_8FTLEDST_LFL_N,2030.0,CLTLED,4.756468797564687,Giga Lm-Y/PJ
42,C_LT_8FTLED_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT LINEAR LED REPLACEMENT LAMP FOR A 2-LAMP SYSTEM,C_LT_8FTLEDHE_LFL_N,2035.0,CLTLED,5.771182141045154,Giga Lm-Y/PJ
43,C_LT_8FTLED_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT LINEAR LED REPLACEMENT LAMP FOR A 2-LAMP SYSTEM,C_LT_8FTLEDST_LFL_N,2035.0,CLTLED,4.756468797564687,Giga Lm-Y/PJ
44,C_LT_8FTLED_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT LINEAR LED REPLACEMENT LAMP FOR A 2-LAMP SYSTEM,C_LT_8FTLEDHE_LFL_N,2040.0,CLTLED,7.007864028411973,Giga Lm-Y/PJ
45,C_LT_8FTLED_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT LINEAR LED REPLACEMENT LAMP FOR A 2-LAMP SYSTEM,C_LT_8FTLEDST_LFL_N,2040.0,CLTLED,5.580923389142567,Giga Lm-Y/PJ
46,C_LT_8FTLED_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT LINEAR LED REPLACEMENT LAMP FOR A 2-LAMP SYSTEM,C_LT_8FTLEDHE_LFL_N,2045.0,CLTLED,7.007864028411973,Giga Lm-Y/PJ
47,C_LT_8FTLED_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT LINEAR LED REPLACEMENT LAMP FOR A 2-LAMP SYSTEM,C_LT_8FTLEDST_LFL_N,2045.0,CLTLED,5.580923389142567,Giga Lm-Y/PJ
48,C_LT_8FTLED_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT LINEAR LED REPLACEMENT LAMP FOR A 2-LAMP SYSTEM,C_LT_8FTLEDHE_LFL_N,2050.0,CLTLED,7.007864028411973,Giga Lm-Y/PJ
49,C_LT_8FTLED_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT LINEAR LED REPLACEMENT LAMP FOR A 2-LAMP SYSTEM,C_LT_8FTLEDST_LFL_N,2050.0,CLTLED,5.580923389142567,Giga Lm-Y/PJ
50,C_LT_8FTLUM_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT LINEAR LED LUMINAIRE REPLACEMENT FOR A 2-LAMP SYSTEM,C_LT_8FTLUMHE_LFL_N,2020.0,CLTLED,5.485794013191273,Giga Lm-Y/PJ
51,C_LT_8FTLUM_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT LINEAR LED LUMINAIRE REPLACEMENT FOR A 2-LAMP SYSTEM,C_LT_8FTLUMST_LFL_N,2020.0,CLTLED,4.344241501775747,Giga Lm-Y/PJ
52,C_LT_8FTLUM_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT LINEAR LED LUMINAIRE REPLACEMENT FOR A 2-LAMP SYSTEM,C_LT_8FTLUMHE_LFL_N,2025.0,CLTLED,5.485794013191273,Giga Lm-Y/PJ
53,C_LT_8FTLUM_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT LINEAR LED LUMINAIRE REPLACEMENT FOR A 2-LAMP SYSTEM,C_LT_8FTLUMST_LFL_N,2025.0,CLTLED,4.344241501775747,Giga Lm-Y/PJ
54,C_LT_8FTLUM_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT LINEAR LED LUMINAIRE REPLACEMENT FOR A 2-LAMP SYSTEM,C_LT_8FTLUMHE_LFL_N,2030.0,CLTLED,7.293252156265854,Giga Lm-Y/PJ
55,C_LT_8FTLUM_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT LINEAR LED LUMINAIRE REPLACEMENT FOR A 2-LAMP SYSTEM,C_LT_8FTLUMST_LFL_N,2030.0,CLTLED,5.73947234906139,Giga Lm-Y/PJ
56,C_LT_8FTLUM_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT LINEAR LED LUMINAIRE REPLACEMENT FOR A 2-LAMP SYSTEM,C_LT_8FTLUMHE_LFL_N,2035.0,CLTLED,7.293252156265854,Giga Lm-Y/PJ
57,C_LT_8FTLUM_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT LINEAR LED LUMINAIRE REPLACEMENT FOR A 2-LAMP SYSTEM,C_LT_8FTLUMST_LFL_N,2035.0,CLTLED,5.73947234906139,Giga Lm-Y/PJ
58,C_LT_8FTLUM_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT LINEAR LED LUMINAIRE REPLACEMENT FOR A 2-LAMP SYSTEM,C_LT_8FTLUMHE_LFL_N,2040.0,CLTLED,7.293252156265854,Giga Lm-Y/PJ
59,C_LT_8FTLUM_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT LINEAR LED LUMINAIRE REPLACEMENT FOR A 2-LAMP SYSTEM,C_LT_8FTLUMST_LFL_N,2040.0,CLTLED,7.134703196347031,Giga Lm-Y/PJ
60,C_LT_8FTLUM_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT LINEAR LED LUMINAIRE REPLACEMENT FOR A 2-LAMP SYSTEM,C_LT_8FTLUMHE_LFL_N,2045.0,CLTLED,7.293252156265854,Giga Lm-Y/PJ
61,C_LT_8FTLUM_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT LINEAR LED LUMINAIRE REPLACEMENT FOR A 2-LAMP SYSTEM,C_LT_8FTLUMST_LFL_N,2045.0,CLTLED,7.134703196347031,Giga Lm-Y/PJ
62,C_LT_8FTLUM_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT LINEAR LED LUMINAIRE REPLACEMENT FOR A 2-LAMP SYSTEM,C_LT_8FTLUMHE_LFL_N,2050.0,CLTLED,7.293252156265854,Giga Lm-Y/PJ
63,C_LT_8FTLUM_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT LINEAR LED LUMINAIRE REPLACEMENT FOR A 2-LAMP SYSTEM,C_LT_8FTLUMST_LFL_N,2050.0,CLTLED,7.134703196347031,Giga Lm-Y/PJ
64,C_LT_8FTT8HO_LFL,CA,Commercial Lighting,ELC_COM,REFERENCE COMMERCIAL 8-FT T8 F96 HIGH-OUTPUT IN A 2-LAMP SYSTEM,C_LT_8FTT8HO_LFL_R,2019.0,CLTT8,2.5684931506849313,Giga Lm-Y/PJ
65,C_LT_8FTT8HO_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT T8 F96 HIGH-OUTPUT IN A 2-LAMP SYSTEM,C_LT_8FTT8HOHE_LFL_N,2020.0,CLTT8,2.6319127346524605,Giga Lm-Y/PJ
66,C_LT_8FTT8HO_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT T8 F96 HIGH-OUTPUT IN A 2-LAMP SYSTEM,C_LT_8FTT8HOST_LFL_N,2020.0,CLTT8,2.6002029426686954,Giga Lm-Y/PJ
67,C_LT_8FTT8HO_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT T8 F96 HIGH-OUTPUT IN A 2-LAMP SYSTEM,C_LT_8FTT8HOHE_LFL_N,2025.0,CLTT8,2.6319127346524605,Giga Lm-Y/PJ
68,C_LT_8FTT8HO_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT T8 F96 HIGH-OUTPUT IN A 2-LAMP SYSTEM,C_LT_8FTT8HOST_LFL_N,2025.0,CLTT8,2.6002029426686954,Giga Lm-Y/PJ
69,C_LT_8FTT8HO_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT T8 F96 HIGH-OUTPUT IN A 2-LAMP SYSTEM,C_LT_8FTT8HOHE_LFL_N,2030.0,CLTT8,2.6953323186199896,Giga Lm-Y/PJ
