,regions,tech,vintage,tech_rate,tech_rate_notes
104,CA,R_CK_OVHE_NGA_N,2020,0.3,nan
105,CA,R_CK_OVST_NGA_N,2020,0.3,nan
106,CA,R_CK_TOPHE_ELC_N,2020,0.3,nan
107,CA,R_CK_TOPHE_NGA_N,2020,0.3,nan
108,CA,R_CK_TOPST_ELC_N,2020,0.3,nan
109,CA,R_CK_TOPST_NGA_N,2020,0.3,nan
110,CA,R_DW_HE_ELC_N,2020,0.3,nan
111,CA,R_DW_ST_ELC_N,2020,0.3,nan
112,CA,R_FZ_CHESTHE_N,2020,0.3,nan
113,CA,R_FZ_CHESTST_N,2020,0.3,nan
114,CA,R_FZ_UPRIGHTHE_N,2020,0.3,nan
115,CA,R_FZ_UPRIGHTST_N,2020,0.3,nan
116,CA,R_HPHE_ELC_N,2020,0.3,nan
117,CA,R_HPHE_GEO_N,2020,0.3,nan
118,CA,R_HPST_ELC_N,2020,0.3,nan
119,CA,R_HPST_GEO_N,2020,0.3,nan
120,CA,R_HPST_NGA_N,2020,0.3,nan
121,CA,R_HP_NGA_N,2020,0.3,nan
122,CA,R_LT_CFLHE_GSL_N,2020,0.3,nan
123,CA,R_LT_CFLHE_RFL_N,2020,0.3,nan
124,CA,R_LT_CFLST_GSL_N,2020,0.3,nan
125,CA,R_LT_CFLST_RFL_N,2020,0.3,nan
126,CA,R_LT_CFLST_ROL_N,2020,0.3,nan
127,CA,R_LT_HALST_RFL_N,2020,0.3,nan
128,CA,R_LT_HALST_ROL_N,2020,0.3,nan
129,CA,R_LT_HIRST_RFL_N,2020,0.3,nan
130,CA,R_LT_HIRST_ROL_N,2020,0.3,nan
131,CA,R_LT_INCST_RFL_N,2020,0.3,nan
132,CA,R_LT_INCST_ROL_N,2020,0.3,nan
133,CA,R_LT_LED60HE_GSL_N,2020,0.3,nan
134,CA,R_LT_LED60ST_GSL_N,2020,0.3,nan
135,CA,R_LT_LEDHE_LUM_N,2020,0.3,nan
136,CA,R_LT_LEDHE_RFL_N,2020,0.3,nan
137,CA,R_LT_LEDHE_ROL_N,2020,0.3,nan
138,CA,R_LT_LEDST_LUM_N,2020,0.3,nan
139,CA,R_LT_LEDST_RFL_N,2020,0.3,nan
140,CA,R_LT_LEDST_ROL_N,2020,0.3,nan
141,CA,R_LT_LLRHE_L2L_N,2020,0.3,nan
142,CA,R_LT_LLRST_L2L_N,2020,0.3,nan
143,CA,R_LT_T5HE_LFL_N,2020,0.3,nan
144,CA,R_LT_T5ST_LFL_N,2020,0.3,nan
145,CA,R_LT_T8HE_LFL_N,2020,0.3,nan
146,CA,R_LT_T8ST_LFL_N,2020,0.3,nan
148,CA,R_RF_BFHE_ELC_N,2020,0.3,nan
149,CA,R_RF_BFST_ELC_N,2020,0.3,nan
150,CA,R_RF_SFHE_ELC_N,2020,0.3,nan
151,CA,R_RF_SFST_ELC_N,2020,0.3,nan
152,CA,R_RF_TFHE_ELC_N,2020,0.3,nan
153,CA,R_RF_TFST_ELC_N,2020,0.3,nan
154,CA,R_SC_CACHE_ELC_N,2020,0.3,nan
155,CA,R_SC_CACST_ELC_N,2020,0.3,nan
156,CA,R_SC_RACHE_ELC_N,2020,0.3,nan
157,CA,R_SC_RACST_ELC_N,2020,0.3,nan
158,CA,R_SH_BLRHE_DISTOIL_N,2020,0.3,nan
159,CA,R_SH_BLRHE_NGA_N,2020,0.3,nan
160,CA,R_SH_BLRST_DISTOIL_N,2020,0.3,nan
161,CA,R_SH_BLRST_NGA_N,2020,0.3,nan
162,CA,R_SH_FHE_DISTOIL_N,2020,0.3,nan
163,CA,R_SH_FHE_NGA_N,2020,0.3,nan
164,CA,R_SH_FST_DISTOIL_N,2020,0.3,nan
165,CA,R_SH_FST_ELC_N,2020,0.3,nan
166,CA,R_SH_FST_LPG_N,2020,0.3,nan
167,CA,R_SH_FST_NGA_N,2020,0.3,nan
168,CA,R_SH_PLTHE_BIO_N,2020,0.3,nan
169,CA,R_SH_PLTST_BIO_N,2020,0.3,nan
170,CA,R_SH_RESST_ELC_N,2020,0.3,nan
171,CA,R_SH_WHHE_BIO_N,2020,0.3,nan
172,CA,R_SH_WHST_BIO_N,2020,0.3,nan
173,CA,R_WH_ERHE_ELC_N,2020,0.3,nan
174,CA,R_WH_ERST_ELC_N,2020,0.3,nan
175,CA,R_WH_GFHE_NGA_N,2020,0.3,nan
176,CA,R_WH_GFST_NGA_N,2020,0.3,nan
177,CA,R_WH_HPHE_ELC_N,2020,0.3,nan
178,CA,R_WH_HPST_ELC_N,2020,0.3,nan
179,CA,R_WH_OFHE_DISTOIL_N,2020,0.3,nan
180,CA,R_WH_OFST_DISTOIL_N,2020,0.3,nan
181,CA,R_WH_SOLST_ELC_N,2020,0.3,nan
182,CA,C_AHPHE_ELC_N,2025,0.3,nan
183,CA,C_AHPST_ELC_N,2025,0.3,nan
184,CA,C_CK_RANGEHE_ELC_N,2025,0.3,nan
185,CA,C_CK_RANGEHE_NGA_N,2025,0.3,nan
186,CA,C_CK_RANGEST_ELC_N,2025,0.3,nan
187,CA,C_CK_RANGEST_NGA_N,2025,0.3,nan
188,CA,C_GHPHE_ELC_N,2025,0.3,nan
189,CA,C_GHPST_ELC_N,2025,0.3,nan
190,CA,C_LT_8FTLEDHE_LFL_N,2025,0.3,nan
191,CA,C_LT_8FTLEDST_LFL_N,2025,0.3,nan
192,CA,C_LT_8FTLUMHE_LFL_N,2025,0.3,nan
193,CA,C_LT_8FTLUMST_LFL_N,2025,0.3,nan
194,CA,C_LT_8FTT8HE_LFL_N,2025,0.3,nan
195,CA,C_LT_8FTT8HOHE_LFL_N,2025,0.3,nan
196,CA,C_LT_8FTT8HOST_LFL_N,2025,0.3,nan
197,CA,C_LT_8FTT8ST_LFL_N,2025,0.3,nan
198,CA,C_LT_CFLHE_GSL_N,2025,0.3,nan
199,CA,C_LT_CFLST_GSL_N,2025,0.3,nan
200,CA,C_LT_HALST_RFL_N,2025,0.3,nan
201,CA,C_LT_HIRST_RFL_N,2025,0.3,nan
202,CA,C_LT_LEDHE_GSL_N,2025,0.3,nan
203,CA,C_LT_LEDHE_LFL_N,2025,0.3,nan
204,CA,C_LT_LEDHE_RFL_N,2025,0.3,nan
205,CA,C_LT_LEDST_GSL_N,2025,0.3,nan
206,CA,C_LT_LEDST_LFL_N,2025,0.3,nan
207,CA,C_LT_LEDST_RFL_N,2025,0.3,nan
